Tons,Kms,Edad,Sesgo,Model,ID
7446.289999999995,5776.299999999999,951.25,1,A,AWOU5IMX
932.3699999999999,850.1999999999999,129.48333333333332,1,A,AWOU5IMX
17348.130000000016,14000.099999999991,2286.2833333333333,1,A,AWOU5IMX
6241.380000000003,4976.299999999997,803.7,1,A,AWOU5IMX
3028.57,2232.5000000000005,364.43333333333334,1,A,AWOU5IMX
2498.05,2168.000000000001,343.9,1,A,AWOU5IMX
10345.170000000006,8058.400000000002,1333.0333333333333,1,A,AWOU5IMX
1389.5800000000002,1104.6000000000004,204.45,0,A,AWOU5IMX
18028.600000000028,13231.7,2242.9,0,A,AWOU5IMX
10435.930000000002,8560.099999999993,1393.1666666666667,1,A,AWOU5IMX
9224.440000000006,7005.500000000001,1159.2,1,A,AWOU5IMX
11440.949999999993,9022.699999999995,1493.3333333333333,1,A,AWOU5IMX
13387.069999999983,10706.599999999991,1742.85,1,A,AWOU5IMX
5430.440000000003,4401.800000000003,729.75,1,A,AWOU5IMX
2456.350000000001,1804.6000000000006,310.23333333333335,1,A,AWOU5IMX
1631.65,1380.3999999999996,225.13333333333333,1,A,AWOU5IMX
12804.539999999995,9859.400000000005,1642.3,1,A,AWOU5IMX
34743.779999999955,27257.40000000002,4487.15,1,A,AWOU5IMX
4796.47,3706.8000000000006,594.25,1,A,AWOU5IMX
11315.32999999999,9247.40000000001,1534.8166666666666,1,A,AWOU5IMX
4945.6200000000035,3907.3999999999955,644.4,1,A,AWOU5IMX
8178.069999999998,6417.699999999995,1053.9166666666667,1,A,AWOU5IMX
9341.899999999992,6890.400000000005,1117.75,1,A,AWOU5IMX
32475.469999999972,25516.399999999954,4164.5,1,A,AWOU5IMX
3682.4499999999994,2958.600000000001,475.9,1,A,AWOU5IMX
2410.710000000001,1756.5,290.4,1,A,AWOU5IMX
14970.920000000007,11782.0,1932.9333333333334,1,A,AWOU5IMX
8670.15,6942.9000000000015,1137.5833333333333,1,A,AWOU5IMX
11786.42999999999,9377.100000000002,1535.6833333333334,1,A,AWOU5IMX
17875.069999999974,14340.399999999998,2344.6,1,A,AWOU5IMX
6615.829999999996,3036.499999999996,493.93333333333334,1,B,6VABNMFW
16371.209999999994,6275.500000000001,1085.35,1,B,6VABNMFW
30095.99,11577.400000000005,2003.75,1,B,6VABNMFW
1720.1700000000003,520.5,84.16666666666667,1,B,6VABNMFW
33497.870000000046,12638.600000000008,2114.2833333333333,1,B,6VABNMFW
10864.310000000009,4180.199999999999,706.9333333333333,0,B,6VABNMFW
19303.96000000001,6732.000000000002,1154.8333333333333,1,B,6VABNMFW
6403.450000000001,2540.0000000000005,441.45,1,B,6VABNMFW
8526.400000000005,3225.199999999999,564.4333333333333,0,B,6VABNMFW
40633.87000000003,15785.900000000009,2693.1833333333334,1,B,6VABNMFW
2787.5299999999997,1079.2000000000003,183.78333333333333,1,B,6VABNMFW
9688.410000000002,3276.6999999999994,571.6,1,B,6VABNMFW
