Año,Fallas_totales,Fallas_programadas,Fallas_reactivas,Tiempo_operacion,Tiempo_reparacion,Tiempo_sin_operar,Factor_toneladas,Factor_kilometros
2024,30,13,17,4027.2802808521424,74.3003257943564,4658.419393353501,0.2229339081435624,0.1746113711492178
2025,23,13,10,4023.2815061655824,108.99318021035488,4627.725313624063,0.15290831073808428,0.1194351517777113
2026,24,14,10,3966.786035076985,142.9783676911965,4650.235597231818,0.11898323900437109,0.0923638669225453
2027,27,13,14,4023.577210544947,140.4848944296277,4595.937895025426,0.12094488794676879,0.09277504076119217
2028,25,13,12,4073.75950282988,51.49480310961109,4634.745694060509,0.3211392337679968,0.2525503713628631
2029,31,13,18,4023.1448435528796,100.0003979675061,4636.854758479614,0.16809363049538525,0.1306675144243335
2030,22,13,9,3958.0543239431436,215.91858691480303,4586.027089142053,0.07740636856575224,0.06018919537123343
2031,29,14,15,3996.335593396698,126.41269133702563,4637.251715266277,0.1337143658790233,0.10359979632254902
2032,26,13,13,4037.2833203399664,66.0267326275077,4656.689947032526,0.2578735010770292,0.1958497614865229
2033,31,13,18,3980.482472511361,158.92139586515097,4620.596131623488,0.107159363870693,0.08247922822790045
