Hora,Tiempo_operacion,Tiempo_sin_operar,Factor_toneladas,Factor_kilometros,Toneladas_cargadas,Kms_andados
1,0.8776613727878535,1.5380428982527101,0.0,0.0,40.49487239832719,12.983339515799633
2,2.508655327499693,3.324499774692442,0.0,0.0,67.747212084304,29.428945374490098
3,3.4307457143938684,4.491667780279151,0.0,0.0,74.55940436640687,39.69022872869131
4,4.674915465983794,6.1007573527841785,0.0,0.0,106.84386152500957,49.28125266587158
5,5.576094076408552,7.523734724778981,0.0,0.0,141.3332354230144,58.04051799379647
6,6.259833686208291,8.575585988691781,0.0,0.0,174.00166003778793,77.22066736868106
7,7.981642451943789,10.545000612163893,0.0,0.0,211.17076541681843,92.13552863417405
8,9.270310077437156,12.095024842718836,0.0,0.0,219.7657426624959,110.83434601780367
9,10.57831762558564,13.419487452729658,0.0,0.0,226.1758832012466,120.95852129201666
10,11.30097074256431,14.818118921619181,0.0,0.0,231.50239324594963,135.4778620478897
11,11.97606673918952,16.323133988447232,0.0,0.0,240.76525584692274,148.97999489624036
12,13.432263973623062,17.67075324544324,0.0,0.0,246.61376725877648,162.5852880888464
13,14.064595297917647,18.801382565082662,0.0,0.0,286.08455450075604,179.43303230960942
14,15.175773134656326,20.355059622043896,0.0,0.0,313.6114644743247,190.39854710479239
15,16.920732993856266,21.970172855820113,0.0,0.0,323.0273275641783,204.22532773854442
16,17.673362369917086,23.86954752082012,0.0,0.0,330.75151959816264,216.37190996603158
17,19.012318034390617,25.39433936319606,0.0,0.0,364.2346014960839,232.13356911564065
18,19.807340366230495,26.77229940361155,0.0,0.0,372.92768236789414,241.28208088036112
19,20.570368589136766,28.589123550478217,0.0,0.0,406.32022075358975,257.5909788509068
20,21.552252490815224,29.82395599273241,0.0,0.0,415.69870813179807,276.6553381983322
21,22.822366956826404,31.02842915096561,0.0,0.0,437.14524861857,297.1317256788243
22,23.66670969024059,32.21404122729669,0.0,0.0,443.60074093342257,309.6870333539079
23,24.40871424585981,34.16831397494411,0.0,0.0,484.55422227109887,330.9249266599929
24,25.692736198918126,35.66942102883692,0.0,0.0,489.73538874643117,344.0344033799073
25,26.579868057934757,36.18144812802967,0.0,0.0,512.8482873555481,364.0992798932049
26,27.67760787843874,37.531475839376284,0.0,0.0,521.3013791063589,379.0209924124353
27,29.29126154453695,37.70035300815249,0.0,0.0,526.9673593631555,395.0267557340252
28,30.64223384985349,38.18573422147413,0.0,0.0,532.6311366016777,409.99773392655663
29,31.69763198793132,39.29368748445245,0.0,0.0,542.130232484048,418.1727847952412
