Año,Fallas_totales,Fallas_programadas,Fallas_reactivas,Tiempo_operacion,Tiempo_reparacion,Tiempo_sin_operar,Factor_toneladas,Factor_kilometros
2024,21,14,7,4013.516247498653,99.40662966847079,4647.077122832877,0.17112861165120238,0.13221452945419845
2025,23,14,9,4063.115302941842,86.27466300022878,4610.61003405793,0.19655833935718572,0.1502728446914377
2026,29,13,16,3977.4463324677886,169.6896089311165,4612.864058601094,0.0996966675896547,0.07636241055249392
2027,30,13,17,4013.515503825132,103.43106384524518,4643.053432329622,0.16480639933791974,0.12698661869173497
2028,29,14,15,4027.6610023947705,139.36792964309942,4592.97106796213,0.12256667562655962,0.09215375513691282
2029,26,13,13,4008.635341117744,97.86728605196974,4653.497372830286,0.17246116977507936,0.13229442196507665
2030,34,13,21,3974.9551545848844,154.64697077659366,4630.397874638522,0.10977113982084798,0.08479982356210118
2031,39,13,26,4001.136275534788,92.98895233911928,4665.8747721260925,0.18101460648433051,0.1406140615423041
2032,32,13,19,3985.537252170949,131.09411385153984,4643.368633977511,0.13009568521867063,0.09991085456286128
2033,24,13,11,4044.6522295670243,55.377470040196556,4659.97030039278,0.3030061585748455,0.23387987383846348
