Tiempo,Fallas_totales,Fallas_programadas,Fallas_reactivas,Tiempo_operacion,Tiempo_reparacion,Tiempo_sin_operar,Factor_toneladas,Factor_kilometros,Toneladas_cargadas,Kms_andados
1,25,13,12,4022.962043567174,103.048701925354,-4125.010745492528,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
2,25,13,12,4022.962043567174,103.048701925354,-4124.010745492528,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
3,25,13,12,4022.962043567174,103.048701925354,-4123.010745492528,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
4,25,13,12,4022.962043567174,103.048701925354,-4122.010745492528,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
5,25,13,12,4022.962043567174,103.048701925354,-4121.010745492528,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
6,25,13,12,4022.962043567174,103.048701925354,-4120.010745492528,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
7,25,13,12,4022.962043567174,103.048701925354,-4119.010745492528,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
8,25,13,12,4022.962043567174,103.048701925354,-4118.010745492528,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
9,25,13,12,4022.962043567174,103.048701925354,-4117.010745492528,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
10,25,13,12,4022.962043567174,103.048701925354,-4116.010745492528,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
11,25,13,12,4022.962043567174,103.048701925354,-4115.010745492528,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
12,25,13,12,4022.962043567174,103.048701925354,-4114.010745492528,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
13,25,13,12,4022.962043567174,103.048701925354,-4113.010745492528,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
14,25,13,12,4022.962043567174,103.048701925354,-4112.010745492528,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
