Umbral,N_simulacion,Fallas totales promedio,Fallas programadas promedio,Fallas reactivas promedio,Tiempo promedio entre fallas,Tiempo de operacion promedio,Tiempo sin operar promedio,Tiempo de Operacion/Tiempo de Reparacion,Tiempo_Reparacion,Kilometros totales,Toneladas totales,Factor Toneladas,Factor Kilometros
0.358,1,18,9,9,458.1421573254521,2654.7216135161025,3046.181387766467,44.92142868725925,59.09699871743043,34131.12574735986,44449.563419523176,0.28332381992894023,0.21755356366379214
0.358,2,18,9,9,289.62482561453663,2661.506721732964,3048.2954692892044,53.02037630583306,50.197808977831734,34494.433250183945,44629.923289765495,0.33405179632204174,0.25818837544309964
0.358,3,24,9,15,328.06246622761415,2603.718009187882,2989.4864525109697,15.61023775400327,166.7955383011482,33928.55830178702,43749.48390368642,0.10073828613088368,0.07812446020479319
0.358,4,19,9,10,340.01576082241303,2640.94307681383,3029.3834275170157,29.450653809208585,89.67349566915435,34353.60194845233,45419.91526311638,0.1917887724012015,0.14506048959108367
0.358,5,18,9,9,301.28395584542443,2625.0745906837055,3080.1240854291486,47.90166376435736,54.80132388714585,34789.27509128217,44743.10213550088,0.31102363506129893,0.24183139486550834
0.358,6,19,9,10,354.75565641554573,2602.373400645955,3036.1278242219264,21.418927045281833,121.49877513211878,33952.898759749914,44404.97032920832,0.14043975825449284,0.10738295417173314
0.358,7,13,9,4,420.40588698049555,2607.713752668989,3038.639213545614,22.94572648146017,113.64703378539727,34135.097897807485,44440.890623977364,0.14995630528586978,0.11518160616171177
0.358,8,14,6,8,718.591919108954,2631.6247330669003,3017.574847358161,23.751035809815033,110.80041957493873,34312.73371484665,44166.917807535334,0.15147177987904042,0.11767655762061462
0.358,9,17,8,9,365.49228142124764,2609.3926012670318,3006.3398870379747,18.08718103341061,144.26751169499363,34263.93533046628,44260.1225130718,0.11757219976359012,0.09101841614131413
0.358,10,17,9,8,469.4280276457687,2656.447414565266,3037.5939197944986,40.2744262452879,65.95866564023541,34832.7529448057,44512.19984545128,0.2540422635359788,0.1987992378272056
0.358,11,19,9,10,336.82619181586614,2617.5458946159624,3036.4157098251144,24.684887778799443,106.03839555892313,34660.31587972613,44303.01106427869,0.1596157677279564,0.12487487409849349
0.358,12,23,9,14,247.26537816147453,2626.0424709251542,3001.155268868801,19.774079649328336,132.80226020604468,34132.51961666251,44084.23178333941,0.12640843803027285,0.09787260243039032
0.358,13,17,9,8,446.33813451461356,2620.7490664584066,3101.272823518447,69.00683222153853,37.97811002314658,34137.01281407829,45060.3922888975,0.45272677508524095,0.3429783660842457
0.358,14,15,9,6,443.3577358973266,2666.4846425043634,3046.336553921702,56.51869993535714,47.17880357393457,34677.24579097945,43613.163204122015,0.34668222615495753,0.2756503744402367
0.358,15,20,9,11,438.67854144284155,2608.942729027871,3055.1474827056786,27.20204867703254,95.9097882664505,34040.73879952228,44483.85967099372,0.1777767588891584,0.13604152739285683
0.358,16,21,9,12,235.84975631984003,2626.2720650835936,3066.9227691511,39.31240997604841,66.80516576530627,34531.84548487414,46225.65656129945,0.26347130839236976,0.19682036314698861
0.358,17,19,8,11,421.36488998748587,2621.246246606849,3009.0252742972043,20.205634606015742,129.72847909594662,34099.76569200334,45406.53679598875,0.13352888757062048,0.100278596443723
0.358,18,17,9,8,374.84535336226304,2660.57315852922,3050.025654207658,53.85646187729102,49.40118726312154,34753.42248509157,44510.28853092446,0.33864745621531245,0.2644143299851995
0.358,19,16,8,8,435.5056062405781,2633.169656493685,3062.470761814044,40.91340538979796,64.35958169227058,34120.28984932516,44249.88303351708,0.2611079364382667,0.2013356389323029
0.358,20,16,8,8,424.4954318929402,2649.446363216213,3049.3373033879243,43.28005642028965,61.21633339586302,34818.970558272544,44476.84973560459,0.2742278592863413,0.2146809366110657
0.358,21,20,8,12,398.43312912793317,2655.628363596804,3062.7225458134185,63.761977176245985,41.64909058977765,35087.88027391424,45815.07486039153,0.4142243060242157,0.31723734820060684
0.358,22,15,9,6,182.0824757655586,2607.150156238755,3035.3982329383252,22.197653467431092,117.45161082291989,34222.4749241844,44502.41306896485,0.14533109255350904,0.1117599996860681
0.358,23,19,8,11,262.9518577539865,2623.929074180276,2992.123240371451,18.22835196001242,143.94768544827286,33985.959908438424,44256.93096840421,0.11717218165717753,0.08997933162216033
0.358,24,24,8,16,294.2105832250062,2613.679024666176,3070.8479664449083,34.63064561945703,75.47300888891587,34463.1053411882,44249.53466544303,0.2243183444189439,0.17470707414485756
0.358,25,22,9,13,327.5917528677485,2618.6628780417777,3008.3718362261734,19.69433498092804,132.96528573204864,33841.29263028433,43330.90367556796,0.1244456967343607,0.09719167805267145
0.358,26,24,9,15,378.26342372078545,2629.1736671361746,3084.086629042718,56.251397681062265,46.73970382110734,34720.72870530751,44578.69204692941,0.3627622543060075,0.2825423815266969
0.358,27,19,9,10,378.4929583769919,2640.9238502772137,3078.427639429745,64.96975734752345,40.64851029304147,34188.34799441221,43828.14022456121,0.40827475772651883,0.3184766550205201
0.358,28,21,9,12,306.3269081340813,2650.6727019425985,3055.596129862544,49.33212492849338,53.73116819485746,34841.281097417595,45145.314544883106,0.3169788568844065,0.24463113317480387
0.358,29,18,8,10,342.65425823563777,2623.808487930058,3087.028346865036,53.36939712881273,49.163165204906036,34253.67178395249,43961.95649097002,0.34080428275694036,0.26554318724462195
0.358,30,24,8,16,447.4175200586285,2598.186136563149,3012.4028471055112,17.389521873014438,149.41101633133968,34068.364211757565,44662.32040620312,0.11505047122188836,0.08776036087406773
0.358,31,17,9,8,318.99182078281,2648.299096698539,3082.912214104236,91.9909579264144,28.788689197224926,34699.9410044093,44521.44768890602,0.583956308119788,0.45513455857273394
0.358,32,21,8,13,280.27583800109005,2621.079015792959,3064.832438572215,35.377655119753,74.08854563482609,34013.30238025841,43447.29424875816,0.22373377585759485,0.1751530147619916
0.358,33,16,9,7,281.54553537200394,2653.849415540355,3069.927424335282,73.26388438858007,36.22316012436301,34699.7905062617,45759.878443841866,0.4760167664983965,0.36096429091772025
0.358,34,18,8,10,316.6429514378263,2661.286762140624,3015.4607848981263,31.9664666623017,83.25245296124955,34140.92903290843,45080.32831392226,0.20346905035851987,0.1540943171555864
0.358,35,19,8,11,349.9848397757722,2633.459587125158,3085.19476780367,63.69375982868208,41.34564507117193,34960.87419432143,45757.28402544389,0.42024621275349405,0.32108931479729397
0.358,36,19,9,10,283.7049503410668,2663.8903262252657,3052.1381546052116,60.58217629359609,43.97151916952272,34815.2827050484,44792.29892122966,0.3823979379673334,0.29722279581078465
