Umbral,N_simulacion,Fallas totales promedio,Fallas programadas promedio,Fallas reactivas promedio,Tiempo promedio entre fallas,Tiempo de operacion promedio,Tiempo sin operar promedio,Tiempo de Operacion/Tiempo de Reparacion,Tiempo_Reparacion,Kilometros totales,Toneladas totales,Factor Toneladas,Factor Kilometros
0.358,1,39,0,39,824.7705789889625,3946.548211014213,4573.021845663093,32.770489648403775,120.4299433226945,51903.11010883606,65844.60026399227,0.13853779498497384,0.10920473962194692
0.358,2,37,0,37,718.0318973065897,3923.003305106173,4543.425317849045,22.60167184186151,173.57137704478183,51059.996700366864,66156.81365758184,0.09715782788259127,0.0749866581661069
0.358,3,36,0,36,762.0356026517392,3983.462543557681,4564.394407654992,43.23128652658122,92.14304878732688,51015.789568077154,66515.24310568014,0.18121655372132595,0.1389892773331807
0.358,4,46,0,46,583.8446137587413,3976.6347102402697,4570.254927498913,42.70883082917335,93.11036226081676,51851.824873814774,67238.69389848674,0.18159569698443007,0.14003942866723232
0.358,5,36,0,36,905.5471236610788,3931.219963968969,4562.143633007139,26.809304394410518,146.6364030238916,51206.89818944859,67114.99739656305,0.11642612260057454,0.08882993128008651
0.358,6,41,0,41,625.4450922095353,3948.7682850391834,4571.338960411414,32.935837531466774,119.89275454940368,51874.641764843334,68900.82375457598,0.14553579613825857,0.109572235529797
0.358,7,38,0,38,699.3893378735432,3941.2476957351523,4554.374080293423,27.298075757706883,144.37822397142577,51008.92966379104,66197.70916158255,0.11633423424468724,0.08964184481963997
0.358,8,42,0,42,630.1803425159046,3948.6645679104618,4615.23486492714,51.88745255319886,76.10056716239824,51049.76938769436,67615.52002226155,0.2250133348470806,0.16988524009454647
0.358,9,36,0,36,760.0349813494236,3887.501984771476,4530.367923196696,17.50101460460593,222.1300920318277,50211.05094604273,66907.5201777308,0.0774813026087188,0.05814619376592891
0.358,10,38,0,38,668.7464552294978,3964.6863430990898,4512.057429369999,24.28505425527132,163.25622753091088,51624.09373905849,66358.52326958254,0.10252224819145343,0.07975792543594237
0.358,11,30,0,30,1165.756903462933,3906.5675362196716,4503.1033125071735,16.960803765506604,230.32915127315525,50711.44691509807,65999.17301124934,0.0733490088544959,0.05635880268023704
0.358,12,34,0,34,804.447571992393,3901.9506389601443,4473.97517161483,14.775963707229213,264.07418942502517,50979.18985507923,64573.40287465559,0.06266801617491219,0.04947493166224228
0.358,13,40,0,40,690.7995953178578,3932.3152641823244,4561.578215659053,26.91402998246175,146.10652015862274,52142.41796958647,68062.19709556039,0.11846444878424058,0.09075555986492627
0.358,14,39,0,39,685.7571915899993,3880.63646114362,4515.603509057766,15.919904770071085,243.76002979861372,51129.09164491249,66583.82635620056,0.07038875681297116,0.05405086182054052
0.358,15,37,0,37,868.8280664477065,3939.240953116524,4619.293186312668,48.35449997723413,81.46586057080862,52276.807182025485,66949.48926271836,0.2086215041892703,0.16289991557261635
0.358,16,39,0,39,693.0859468406891,3918.80166856533,4554.4759770754745,23.504956390685653,166.7223543591955,50911.042523870245,66497.91533068326,0.10177964033113757,0.077922857749675
0.358,17,33,0,33,794.2937515123093,3937.0631662373817,4523.58932009072,21.952148014942225,179.34751367189813,50877.84423925378,66400.59572422777,0.09403818377845012,0.07205447503352126
0.358,18,33,0,33,827.7342171446974,3934.992911791476,4563.026578614148,27.71502175216414,141.98050959437586,52171.615656227856,66392.94384599199,0.11883633259435218,0.09338166243222666
0.358,19,32,0,32,847.3648674529998,3852.085063241518,4551.520801866129,16.295180356296257,236.39413489235298,50227.95573218156,66271.50225570076,0.0727770167843913,0.055158562171452735
0.358,20,35,0,35,754.3872841305739,3893.2888351088563,4566.623700802838,21.618877553852418,180.0874640883048,51392.51370292725,66417.6276888151,0.09472906537779448,0.07329928755214543
0.358,21,38,0,38,640.6506859243217,3884.082010955342,4497.865873517598,15.051541054109446,258.0521155270603,50723.72368280987,66898.68095613242,0.06674546142264001,0.05060755001288693
0.358,22,39,0,39,703.1494674691403,3882.338144880971,4518.608024657055,16.240434789847498,239.0538304619754,50025.85019397131,64850.961805772036,0.06987589049073016,0.05390206609932632
0.358,23,39,0,39,856.3086574852275,3916.616976528314,4556.179171895917,23.424203088727754,167.20385157576936,51316.78435133328,67241.2174636998,0.10267818632519282,0.0783613763103036
0.358,24,34,0,34,661.8481212529323,3888.7071923970484,4456.962042072193,13.212030979448103,294.33076553075784,50438.11542962489,66327.67401023768,0.05795005657725867,0.04406745278518161
0.358,25,39,0,39,737.2461625156052,3948.748454795858,4539.576258736285,26.034224472242396,151.67528646785698,51985.32591976497,66953.79447224365,0.11178947124568765,0.08679735245646823
0.358,26,40,0,40,605.8653626697079,3897.4617505031883,4525.042091301203,17.919680893847993,217.49615819560864,51104.571681952024,66908.90800492525,0.07893152435941063,0.06028736478996657
0.358,27,38,0,38,786.8012910043559,3897.1461732229186,4486.572291749773,15.20650394421762,256.2815350273089,50502.16578036845,65938.5776694384,0.06602000651444473,0.05056453189706617
0.358,28,36,0,36,732.8365115006166,3934.7815450570424,4540.604630238037,23.90310505275224,164.6138247049199,51229.89644628346,67466.08964250758,0.10415943312358757,0.0790927264511702
0.358,29,37,0,37,827.4605548594801,3964.4667958255227,4564.00429403391,35.54653937556508,111.52891014056695,51731.4139828039,67076.43887403577,0.15170425236897317,0.11699898822876982
0.358,30,39,0,39,685.7941955771055,3862.0167571496545,4418.803501509129,10.752323454347591,359.1797413412157,50247.681915074434,65387.352091637746,0.0471376322034851,0.036223469423735825
0.358,31,36,0,36,903.1858759334079,3889.408926760702,4468.8516314819235,13.804985565741763,281.73944175737483,50392.5199032646,66352.66776691772,0.060551810398531726,0.04598697254201538
0.358,32,32,0,32,835.8341506546035,3915.333419586853,4533.608713138728,20.49291911106278,191.05786727441978,50967.53078278541,66090.91145376633,0.08835030728693125,0.06813337730204061
0.358,33,39,0,39,636.1630919812335,3899.4499506114166,4535.014823648585,18.972173439234314,205.53522573999786,50604.681476959144,65371.980868313265,0.08156465997598517,0.06313949161454722
0.358,34,41,0,41,634.1717832994524,3918.7649500709526,4518.068449315809,19.288430963763364,203.16660061323944,51288.17227803763,66264.97913031714,0.08323050629614291,0.06441925435922859
0.358,35,43,0,43,663.2973890535985,3873.2971694146577,4551.759248626202,18.020064307623592,214.9435819591396,50594.81669578409,66780.45445636478,0.08021287262019976,0.06077160779900155
0.358,36,33,0,33,883.2885264911549,3946.081748930544,4587.991966032257,37.253093012227914,105.9262850371991,51162.8249112286,66429.69287806281,0.1589250750559493,0.1224009239966926
0.358,37,43,0,43,607.5978224815581,3914.570069613806,4577.398238859526,26.444135233762463,148.03169152666757,51146.46638638688,65959.13520882523,0.11382461237237407,0.08826262946316203
0.358,38,29,0,29,874.9251978794057,3919.3820497387474,4582.678362619583,28.41375791205248,137.93958764166965,51674.02919657105,68226.84390245014,0.12619692104677252,0.09557973093423587
0.358,39,43,0,43,749.4237098079792,3908.8185535694543,4532.4850147016705,19.67231378821685,198.69643172887592,50809.56073382909,66270.98101761109,0.08532726405087143,0.06541989779647457
0.358,40,45,0,45,673.0200833010241,3964.7813193828756,4522.226257006909,25.91488667101631,152.99242361021632,51214.85734467875,66337.38866363691,0.10936269622561415,0.08443194703403319
0.358,41,39,0,39,657.4912126022157,3932.417049442099,4528.884575658196,22.00589150096742,178.69837489970462,50777.20708223975,66328.48807536339,0.09438868257962792,0.07225844913153939
0.358,42,42,0,42,527.8612010266044,3917.0681372507734,4528.4999669398785,20.146222002030363,194.43189580934856,51925.71525805987,66434.88821778177,0.0872303412915859,0.06817950605895531
