Umbral,N_simulacion,Fallas totales promedio,Fallas programadas promedio,Fallas reactivas promedio,Tiempo promedio entre fallas,Tiempo de operacion promedio,Tiempo sin operar promedio,Tiempo de Operacion/Tiempo de Reparacion,Tiempo_Reparacion,Kilometros totales,Toneladas totales,Factor Toneladas,Factor Kilometros
0.358,1,28,14,14,292.196149896323,3984.3637268296234,4584.660512059584,56.13696372498288,70.97576111079276,51261.948877675444,66608.83824739183,0.23553899785712148,0.18127005941772975
0.358,2,25,9,16,324.90111566868205,3926.0811147101144,4592.595176962972,32.360378435936454,121.32370832691409,51805.25533566507,66909.07527566259,0.14046886824153734,0.10875991868044349
0.358,3,31,13,18,310.7251525644736,3964.9552282296545,4609.403890075904,60.40374726662756,65.64088169444167,52791.56737225736,67451.21747646615,0.2591654471513277,0.20283918772295118
0.358,4,25,13,12,303.7228646037808,3979.680037407368,4564.609376839182,41.580354002419504,95.71058575344972,51630.60014021725,66770.85102618266,0.17529873447034947,0.1355498503527486
0.358,5,28,13,15,407.5132196052904,3908.6075867678524,4491.577184417689,16.29841276590431,239.81522881445966,50837.813243625176,64611.24330221503,0.06893015723679684,0.054236047495124756
0.358,6,26,13,13,297.96001109852625,3953.185175189011,4586.194025097262,39.28795225675091,100.62079971372721,52054.1720895089,67329.42196183033,0.1692660903863132,0.13086412954625626
0.358,7,33,13,20,373.0030128058662,3904.363064309553,4537.664623014794,19.72176316749026,197.97231267565272,50989.63589886994,65949.85784254038,0.08532164334761759,0.0659670797012999
0.358,8,24,13,11,354.30194864364034,4005.2972007650555,4567.8482029891275,59.910573478567926,66.85459624581775,51611.46494225273,69074.9620941155,0.25796134807398347,0.19274368988341217
0.358,9,23,14,9,280.1626668391157,3982.279301295582,4608.091424128448,80.2405301169534,49.6292745759689,52043.41183339807,68690.53294932476,0.3475579622544278,0.26332743958949906
0.358,10,36,13,23,352.43180051372946,3935.2014655281796,4541.991333090716,24.17092998433487,162.8072013811043,50914.23517301964,66162.98550427168,0.10327007956773393,0.07946916357195805
0.358,11,26,14,12,339.3046000080553,3967.6624697268744,4579.854865096468,42.90168824771591,92.48266517665802,51482.48649899184,67870.03633424899,0.18496221830739656,0.1403021925601787
0.358,12,32,14,18,316.3613264988675,3903.5897263528313,4565.51739686512,22.84231970260147,170.8928767820485,51335.26562421571,67202.68604681986,0.10073920166427408,0.07695337761654343
0.358,13,26,13,13,354.5494803039401,3950.3166067135603,4605.375194836119,46.85566385386991,84.30819845032022,51608.29273499457,67376.05817437457,0.20230372777843855,0.1549593473923532
0.358,14,30,12,18,314.4328675527886,3956.566490277481,4597.435497959741,46.00765074885103,85.99801176277818,51868.95877584687,67352.13551059124,0.19794497950474918,0.1524406004944439
0.358,15,28,13,15,327.44652369472345,3967.710326287378,4581.657270552891,43.778054955628384,90.63240315973115,51396.504669311355,67457.44288653292,0.18758859079881188,0.14292563533897995
0.358,16,27,13,14,324.1662595629685,3870.66494524563,4541.997666960613,17.02608173169095,227.33738779375716,50853.01736359498,65919.1432772181,0.07491264126022291,0.05779100967283759
0.358,17,20,13,7,360.95664081818944,3956.9210096532634,4602.528684827819,49.123600266469325,80.55030551891714,52106.50354487005,67455.24316655006,0.21163677720262403,0.16348102777282453
0.358,18,32,13,19,365.7395344033195,3943.0158198490394,4559.004067689757,28.576696666758416,137.980112461204,51216.70058162898,67695.06642032282,0.12442624776003447,0.09413835029650125
0.358,19,26,14,12,301.286543793712,4010.2864031231234,4555.82243931989,54.272886441524584,73.89115755698639,52384.20980825065,67312.63207543605,0.2271583538662097,0.17677975889115147
