Umbral,N_simulacion,Fallas totales promedio,Fallas programadas promedio,Fallas reactivas promedio,Tiempo promedio entre fallas,Tiempo de operacion promedio,Tiempo sin operar promedio,Tiempo de Operacion/Tiempo de Reparacion,Tiempo_Reparacion,Kilometros totales,Toneladas totales,Factor Toneladas,Factor Kilometros
0.358,1,28,12,16,427.7581938932557,3936.33218654055,4587.379356850894,33.84972422319461,116.28845660855589,40808.8515620378,52163.39717636731,0.11395608472658805,0.08915096021210082
0.358,2,31,12,19,363.7881383922918,3977.983885247874,4590.498412873788,55.62236734081535,71.51770187833867,41362.62200176831,54405.40006107878,0.19123414484819995,0.14538898047449925
0.358,3,30,13,17,331.6019519106677,3912.845910976464,4565.519277369129,24.207940547748862,161.63481165440678,40746.700705807496,51996.82254906146,0.08221463977199023,0.0644265390883107
0.358,4,32,13,19,348.65103397500667,3930.6858070114104,4566.416936424682,27.507076773398246,142.89725656390823,41008.96943817033,53529.72359576616,0.095302167762199,0.0730107204487885
0.358,5,32,13,19,397.50278588327626,3953.4564050847425,4555.396887892912,30.145296781345063,131.1467070223464,41545.69861955063,54318.63330152233,0.10476458325360488,0.08012936882443814
0.358,6,27,13,14,347.24930841076906,4010.9764771770847,4564.197454516296,61.872894376466164,64.82606830662007,41527.47312377342,53811.22035649771,0.20695362780022986,0.15971132338952235
0.358,7,20,13,7,357.5577228340816,3935.591944255744,4573.26968603637,30.010987272622057,131.13836970788503,41374.74476445364,54703.99737602451,0.10599349663499921,0.08016697280493637
0.358,8,25,13,12,389.4311122824682,3952.619612186245,4636.301462705942,77.3825918192947,51.07892510781336,41485.081326549756,53883.19695751849,0.266886486510432,0.2054779267564879
0.358,9,29,12,17,312.13560031596614,3962.0147611805946,4609.671281230496,57.99714876749916,68.31395758890919,41487.827347459264,54201.40058428831,0.2002557403369499,0.15328341133024803
0.358,10,24,13,11,347.50982318094196,3948.846734580883,4539.2432874379865,25.994650167557758,151.90997798113025,41088.396497782654,54127.674776931555,0.0902324588878247,0.06849559052798812
0.358,11,24,12,12,389.86122612357053,3978.6282059441182,4607.62882210861,74.0306697189654,53.74297194727203,41619.08294123569,52331.42405488662,0.24474144333695128,0.19464240871249838
0.358,12,33,12,21,352.44334998198366,3955.8346794412228,4606.60578323367,51.00384576637541,77.55953732510756,41489.518095245134,54140.47447528157,0.17646099120652944,0.1352275087857017
0.358,13,25,13,12,301.6256248834174,3937.8771528087045,4523.308641954433,22.022171826855047,178.81420523686228,41224.33806110234,51816.68412390306,0.07358773531452342,0.05854495958295851
0.358,14,26,12,14,266.8923692291057,3947.917544144177,4595.0730068395915,40.69621654570559,97.00944901623234,40887.359666584816,54322.01941215077,0.14183839066665221,0.10675960423554806
0.358,15,25,13,12,342.79411123038653,3998.6083906028084,4590.320749902984,78.2953024523972,51.07085949420688,41371.3387502545,54696.05388526561,0.26783908639531573,0.2025897809202708
0.358,16,27,13,14,365.2090720844999,3958.1701810387053,4575.001517227752,37.051699941008145,106.82830173354272,41257.746651948946,54499.33592410909,0.12888738824781068,0.09757189002017153
0.358,17,20,13,7,331.61348192442813,3987.584855219482,4596.667332793016,71.52899303228983,55.74781198750267,41145.188876888176,54313.140161645264,0.24432457278577124,0.1850892926576656
0.358,18,31,12,19,357.19584144774274,3932.247448360367,4541.140910489356,23.60127672479768,166.61164115027663,40902.61924790957,53379.59692695693,0.08147588912629136,0.062431667953165536
0.358,19,23,13,10,429.86105924207914,3962.920852717147,4614.25229949756,63.07686908406036,62.82684778529352,41270.61138646646,54584.08969485101,0.21923273549064815,0.16576018909920612
0.358,20,27,11,16,520.9915602408678,3983.2052782099504,4598.792732851521,68.67359811456511,58.001988938528406,41334.499419574015,53191.205086578106,0.23023124117799162,0.17891102653812263
0.358,21,26,13,13,302.06262992417936,3950.261133871481,4614.032574948055,52.178769720143144,75.70629118046297,41710.68661413231,54395.66513772339,0.1818890333748525,0.13947281369640865
0.358,22,25,12,13,363.2804073625773,3966.5011976256783,4605.75057683361,58.547676577035496,67.74822554071228,41036.67652380413,53606.48849154963,0.19948573496697686,0.15270971494884628
0.358,23,27,13,14,324.0896169234932,3965.6580590903372,4574.045843931101,39.5395053103416,100.2960969785607,41365.91908052624,53851.9987052139,0.13539496978592663,0.10400240471543869
