Frecuencia,Fecha
12,7/31/2016
49,7/31/2016
56,7/31/2016
35,7/31/2016
13,7/31/2016
18,8/12/2017
26,8/12/2017
41,8/12/2017
45,8/12/2017
21,8/12/2017
25,8/31/2017
37,8/31/2017
15,8/31/2017
16,8/31/2017
19,8/31/2017
14,6/5/2019
22,6/5/2019
16,6/5/2019
13,6/5/2019
30,6/5/2019
28,6/8/2019
35,6/8/2019
18,6/8/2019
35,6/8/2019
13,6/8/2019
34,6/16/2019
13,6/16/2019
21,6/16/2019
28,6/16/2019
9,6/16/2019
14,12/30/2019
27,12/30/2019
43,12/30/2019
43,12/30/2019
23,12/30/2019
15,10/21/2020
35,10/21/2020
15,10/21/2020
30,10/21/2020
17,10/21/2020
14,11/22/2020
29,11/22/2020
45,11/22/2020
9,11/22/2020
30,11/22/2020
11,1/30/2021
22,1/30/2021
18,1/30/2021
28,1/30/2021
13,1/30/2021
21,2/21/2021
11,2/21/2021
21,2/21/2021
23,2/21/2021
13,2/21/2021
17,10/16/2021
24,10/16/2021
51,10/16/2021
9,10/16/2021
27,10/16/2021
