Umbral,N_simulacion,Fallas totales promedio,Fallas programadas promedio,Fallas reactivas promedio,Tiempo promedio entre fallas,Tiempo de operacion promedio,Tiempo sin operar promedio,Tiempo de Operacion/Tiempo de Reparacion,Tiempo_Reparacion,Kilometros totales,Toneladas totales,Factor Toneladas,Factor Kilometros
0.358,1,33,13,20,322.3952263087557,3970.90505442945,4560.153305706729,36.44983735689249,108.94163986382154,46323.849515945345,60008.75675020088,0.13871748870301198,0.10708317285521274
0.358,2,25,13,12,353.33631026899974,3978.529825480268,4566.091990131309,41.71320570831864,95.3781843884238,46608.04315352546,59454.70605853366,0.15668036232725643,0.12282568652293621
0.358,3,26,13,13,428.2275375240133,3975.881373315472,4573.666359316727,43.95557445949446,90.45226736780087,46597.743497367715,59716.765586427,0.16605172873850202,0.12957225306941078
0.358,4,24,13,11,376.3814881764437,3960.945604245607,4595.373404195146,47.33387511835558,83.68099155924789,46384.37728829273,60136.73416887183,0.18143210668676052,0.13994134209443976
0.358,5,28,13,15,271.6276329039466,3859.463673459039,4534.98293679267,15.717411506374441,245.55338974829115,45496.10246081321,59230.48150166405,0.06249889973591371,0.048006639047723024
0.358,6,30,13,17,261.52714912936113,3982.3851683079715,4574.505054865256,47.91716835684155,83.10977682677219,46118.61187594854,61582.007260025886,0.18606233320324056,0.13934161797456907
0.358,7,28,13,15,304.0982244892089,3911.53622558195,4578.596954535697,26.100081583452123,149.86681988235347,46432.75420219056,60116.85525513704,0.10255182792104447,0.07920846489115553
0.358,8,23,13,10,338.12070962870337,3978.7430155903617,4557.2134644657735,38.24114195422322,104.0435199438641,46138.97688035696,60709.251751223645,0.1466540139920495,0.11145691909889723
0.358,9,25,13,12,283.66241590420844,3980.6310677329325,4550.620691106308,36.604096077733345,108.74824116075884,46084.21101187411,59898.13001774924,0.13836909305277395,0.10645792247397592
0.358,10,24,13,11,328.2454165429581,3951.1795896320064,4572.08735142872,33.847991524726986,116.73305893927412,46479.73194781498,61431.81156717854,0.1331903274159746,0.10077271951465161
0.358,11,23,13,10,363.81949858455823,3987.6993365576136,4598.298835106219,73.84378380179518,54.00182833616755,46900.329717221946,61105.496800358116,0.2837588460520336,0.21779355601181863
0.358,12,31,13,18,363.32469315094926,3947.053459429191,4611.283639289435,48.33349535095985,81.66290128137416,46325.87919680713,59348.12262656636,0.1841234786829331,0.14372286187437477
0.358,13,31,13,18,304.8334734349403,3977.066792776364,4538.78943214411,32.03597433885569,124.14377507952591,46107.08147879806,59076.290450928725,0.11965349389274711,0.09338557566877538
0.358,14,32,13,19,342.7176339245345,3987.7033569011087,4532.812313066491,33.374278918581126,119.48433003239975,46337.58890900452,60515.58905107739,0.12700869927608213,0.0972522450364828
0.358,15,36,12,24,340.951108804687,3917.784485924423,4559.973454011759,24.147773298633936,162.2420600638178,46264.58182889699,60186.30995284354,0.09468773392497828,0.07278546263755475
0.358,16,28,13,15,355.46961810507634,3951.0335130246453,4567.727956009981,32.58892599212631,121.2385309653727,46502.06252484541,61590.48414415901,0.12857668933553595,0.09707800368518045
0.358,17,32,13,19,348.5504028271848,3955.3760050887167,4599.126753315574,46.26320020700225,85.4972415957088,46692.28974084066,59830.14983906989,0.17692133697023046,0.13807189768654818
0.358,18,20,13,7,376.36602183362663,3960.3753149230943,4617.8650778514975,64.12565579422534,61.75960722540845,46625.38862100209,59930.168235806035,0.2450217439390579,0.19062576275113283
0.358,19,31,13,18,313.31342821859937,3913.943902863822,4601.160070724921,31.337617499343203,124.89602641125649,46513.56656185939,59591.62827199995,0.12190514460075742,0.09515167183784902
0.358,20,24,12,12,361.2387296374208,3998.543195821968,4534.999135176265,37.55993563747479,106.45766900176712,46400.14378850416,59648.8685187315,0.14012752949909832,0.10900353483560582
0.358,21,23,13,10,293.98367986486795,3942.868415700629,4535.49599545877,24.39356607033467,161.63558884060015,45889.72800763425,59800.479698805015,0.09383295520278934,0.07200558948851671
0.358,22,28,13,15,315.8312873392411,3945.0519658196063,4561.389418309895,29.537981807514292,133.55861587049958,46214.05137182367,59920.2028483361,0.11372308620535046,0.08771005934941255
0.358,23,26,14,12,339.0046546230098,3943.1074842532953,4549.035355216222,26.668356609217973,147.85716053048247,46613.898484132995,61418.0995801755,0.1053453564505184,0.07995294196540553
0.358,24,25,13,12,324.4151507948384,3940.0872813700707,4628.646633291442,55.28698907279871,71.26608533848699,46574.12954502736,61458.82203089845,0.21887466073471992,0.1658654765309002
0.358,25,24,13,11,316.33618105122116,3973.234278787336,4573.34313278198,42.529695928253126,93.42258843068416,46500.33582870311,61223.17505477195,0.16493764101364752,0.1252737332075182
0.358,26,27,12,15,248.36178169316253,3974.7391096633546,4574.165641863612,43.632781910024406,91.09524847303351,46323.861658545844,60994.61733110279,0.1684562614252995,0.12793824916419586
0.358,27,26,12,14,336.75755705335877,3965.1497976730525,4552.972923282103,32.53395406221759,121.87727904484473,46214.7026374185,59701.949706825544,0.1235395927659821,0.09563080555432694
0.358,28,30,13,17,311.15556430383856,3959.800614428927,4517.570056793772,24.348625455198995,162.6293287773014,46760.6001907419,59673.39333502561,0.0926634672659389,0.0726119146733221
