Umbral,N_simulacion,Fallas totales promedio,Fallas programadas promedio,Fallas reactivas promedio,Tiempo promedio entre fallas,Tiempo de operacion promedio,Tiempo sin operar promedio,Tiempo de Operacion/Tiempo de Reparacion,Tiempo_Reparacion,Kilometros totales,Toneladas totales,Factor Toneladas,Factor Kilometros
0.358,1,37,16,21,299.13237452111224,3931.281819264446,4543.6689892280065,23.81884929793603,165.04919150754702,102556.04280303183,133504.65429914938,0.20575425601154196,0.15805697859149556
0.358,2,38,18,20,283.2939877785429,3963.7419149008565,4560.023615112927,34.10126028338138,116.23446998621671,102392.25904316703,134979.98607073035,0.2929739929946602,0.2222423476018213
0.358,3,35,16,19,296.883060104597,3967.3230659550886,4562.192642109481,35.90848071211504,110.48429193543035,103752.11475326231,136191.69780513513,0.3107080675971907,0.23670032464264226
0.358,4,32,16,16,297.807660361369,3985.5136708422287,4573.976232595705,49.503277738212105,80.510096562066,105022.3105139021,135108.98888978607,0.42106543623983317,0.3273006877989777
0.358,5,36,15,21,273.62697216146506,3951.6213324767955,4580.1307813032145,36.50529789049205,108.24788621998921,104515.872143975,135584.48051485853,0.31696786578902936,0.24433602436470847
0.358,6,36,16,20,311.53879826539355,3965.53989666539,4549.697003078246,31.784557200942956,124.76310025636425,103954.49815122648,131011.55540575412,0.2648019147250275,0.21011390994839743
0.358,7,39,15,24,279.45650536430264,3957.6628677622875,4531.064563461696,26.162462234790446,151.2725687760171,102260.21967075432,133298.51446747602,0.22265186205183266,0.1708078174350416
0.358,8,31,16,15,263.3619868867849,3971.6962419668007,4584.703552006638,47.50821117240935,83.60020602656125,104205.51737363338,132630.37988901942,0.39944743789051074,0.3138393101473661
0.358,9,29,17,12,289.70686354313625,3974.516658551458,4581.3516203604495,47.24159457512858,84.13172108809243,103534.98334335438,135882.03417741886,0.40636654330940913,0.3096299930121886
0.358,10,31,16,15,329.26999543005047,3947.659070138716,4582.203348664803,35.8429795466114,110.13758119648085,104205.4641964413,135132.26006239658,0.3108020445467647,0.23967090693402146
0.358,11,29,16,13,212.70158748664912,3963.1804002178314,4562.123097746578,34.55362918555316,114.69650203559031,103242.53871733663,131324.7764977341,0.2889034018514758,0.22712485371513955
0.358,12,35,17,18,249.43313771628942,3975.8875775694423,4579.006712144651,46.717048294558836,85.10571028590684,103779.88119841651,135641.7979092643,0.40086740180337155,0.3067046587166358
0.358,13,39,16,23,290.6988930690971,3910.00546876844,4490.220161243405,16.307020091269948,239.77436998815517,101889.26907261432,132648.43022030295,0.141488776616931,0.10867967308422008
0.358,14,31,16,15,338.39811483265817,3986.3392692080047,4561.019619066346,43.0299161457965,92.64111172564814,103641.79242664196,134794.372661082,0.3650007407863716,0.2806447351275355
0.358,15,37,16,21,294.49878122985547,3928.7131723101875,4576.179340310063,29.07842672899149,135.10748737974947,103113.9393454071,133116.56945356145,0.2507854733304539,0.1942619028709786
0.358,16,33,15,18,265.6327456720529,3933.825338254676,4595.821479340225,35.647593050953866,110.35318240509967,103626.16575852357,131560.16706188925,0.30305711245451405,0.23870938499749278
0.358,17,41,16,25,292.7712090179082,3892.610040694068,4506.342229977255,16.148710678731778,241.04772932867792,101524.54282579223,132072.69563738772,0.1407567072263968,0.1081999597407965
0.358,18,37,16,21,216.20258489371975,3916.0597134127224,4524.615400337963,19.64661707376833,199.32488624931503,102346.87558786121,130097.99646374995,0.16667089902417187,0.13111843556558495
0.358,19,32,16,16,325.82615629174666,3969.201784227309,4601.583767253904,57.34643371679755,69.2144485187869,103729.44778950147,135362.86436418246,0.4927193236392641,0.3775740384660573
0.358,20,25,16,9,334.20759395464347,3958.1393135332464,4614.024175644622,58.34821492973807,67.83651082213176,104720.0754620301,134519.55578798638,0.5009920643913603,0.39000966425750655
0.358,21,39,15,24,297.4199642349835,3925.0712224191334,4553.178916834769,24.26630356473937,161.74986074609794,102748.54359793909,131914.40860291274,0.2077785818164093,0.1618393843294681
0.358,22,34,16,18,332.2762750583221,3970.7708760878895,4592.565442063776,51.794680093024326,76.66368184833466,103230.3949818455,137690.5054272365,0.45231344094521336,0.3391119454423602
0.358,23,34,16,18,255.5167926320155,3969.099124052786,4583.974545679835,45.660493337796325,86.92633026737997,105119.51557063957,134786.9689042776,0.3906651008835396,0.3046772732488492
0.358,24,27,17,10,273.92206052663823,3931.2407501692683,4608.225485916211,39.103686135852506,100.53376391451958,102813.83804782982,132717.3067308876,0.3358040860922672,0.26014170852108404
0.358,25,30,16,14,285.9814249508956,3971.5542058618203,4583.586375070529,46.80157193505725,84.85941906765065,102977.27916070518,133217.55733566073,0.39527642905907434,0.30554899815721864
0.358,26,34,15,19,302.13647382345715,3933.4278723364573,4599.099198686537,36.59924326783757,107.4729289770056,102891.78051984949,132713.88884818883,0.31393959918361064,0.24339430195312536
